date,photo,video
6/12/2015 0:59,0,NA
6/12/2015 1:59,0,NA
6/12/2015 2:59,0,NA
6/12/2015 3:59,0,NA
6/12/2015 4:59,0,NA
6/12/2015 5:59,0,NA
6/12/2015 6:59,0,NA
6/12/2015 7:59,0,NA
6/12/2015 8:59,0,NA
6/12/2015 9:59,0,NA
6/12/2015 10:59,0,NA
6/12/2015 11:59,0,NA
6/12/2015 12:59,0,NA
6/12/2015 13:59,0,NA
6/12/2015 14:59,0,NA
6/12/2015 15:59,0,NA
6/12/2015 16:59,0,NA
6/12/2015 17:59,0,NA
6/12/2015 18:59,0,NA
6/12/2015 19:59,0,NA
6/12/2015 20:59,0,NA
6/12/2015 21:59,0,NA
6/12/2015 22:59,0,NA
6/12/2015 23:59,0,NA
6/13/2015 0:59,0,NA
6/13/2015 1:59,0,NA
6/13/2015 2:59,0,NA
6/13/2015 3:59,0,NA
6/13/2015 4:59,0,NA
6/13/2015 5:59,0,NA
6/13/2015 6:59,0,NA
6/13/2015 7:59,0,NA
6/13/2015 8:59,0,NA
6/13/2015 9:59,0,NA
6/13/2015 10:59,0,NA
6/13/2015 11:59,0,NA
6/13/2015 12:59,0,NA
6/13/2015 13:59,0,NA
6/13/2015 14:59,0,NA
6/13/2015 15:59,0,NA
6/13/2015 16:59,0,NA
6/13/2015 17:59,0,NA
6/13/2015 18:59,0,NA
6/13/2015 19:59,0,NA
6/13/2015 20:59,0,NA
6/13/2015 21:59,0,NA
6/13/2015 22:59,0,NA
6/13/2015 23:59,0,NA
6/14/2015 0:59,0,NA
6/14/2015 1:59,0,NA
6/14/2015 2:59,0,NA
6/14/2015 3:59,0,NA
6/14/2015 4:59,0,NA
6/14/2015 5:59,0,NA
6/14/2015 6:59,0,NA
6/14/2015 7:59,0,NA
6/14/2015 8:59,0,NA
6/14/2015 9:59,0,NA
6/14/2015 10:59,0,NA
6/14/2015 11:59,0,NA
6/14/2015 12:59,0,NA
6/14/2015 13:59,0,NA
6/14/2015 14:59,0,NA
6/14/2015 15:59,0,NA
6/14/2015 16:59,0,NA
6/14/2015 17:59,0,NA
